Σχολή(Πανεπιστήμιο)	Βάση	ΕΒΕ
Χημικών Μηχανικών και Μηχανικών Περιβάλλοντος (ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ)	14.750	14,73
Μηχανικών Πληρ/κής & Ηλεκτρονικών Συστ. (ΔΙΠΑΕ)	14.740	12,5
Επιστήμης Φυτικής Παραγωγής (ΓΠΑ)	14.720	14,39
Αγρονόμων και Τοπογράφων Μηχανικών - Μηχανικών Γεωπληροφορικής (ΕΜΠ)	14.715	14,73
Μηχανολόγων Μηχανικών (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	14.714	14,73
Χημείας (ΔΠΘ)	14.712	14,39
Ικάρων (ΣΙ) Ιπτάμενοι	14.685	14,73
Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών (ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ)	14.648	14,73
Χημικών Μηχανικών (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	14.605	14,73
Μουσικών Σπουδών (ΑΠΘ)	14.590	9,91 - 7,69 - 11,58
Παιδαγωγικό Δημοτικής Εκπαίδευσης (ΠΑΝ. ΙΩΑΝΝ.)	14.575	10,5
Πολιτικών Μηχανικών (ΠΑΝ. ΠΑΤΡΩΝ)	14.545	14,73
Ηλεκτρολόγων και Ηλεκτρονικών Μηχανικών (ΠΑ.Δ.Α.)	14.520	14,73
Επιστήμης Τροφίμων & Διατροφής του Ανθρ. (ΓΠΑ)	14.520	14,39
Φυσικής (ΑΠΘ)	14.518	14,73
Φυσικής (ΕΚΠΑ)	14.513	14,73
Μαθηματικών (ΕΚΠΑ)	14.500	14,73
Μηχανικών Ηλ/κών Υπ/στών & Πληροφ. (ΠΑΝ. ΠΑΤΡΩΝ)	14.500	14,73
Πυροσβεστών (ΣΠΑ)	14.460	8,4
Στατιστικής (ΟΠΑ)	14.440	12,6
Επιστημών Εκπ/σης & Κοινων. Εργ. (ΠΑΝ. ΠΑΤΡΩΝ)	14.422	12,6
Εσωτερικής Αρχιτεκτονικής (Π.Α.Δ.Α.)	14.405	13,06 - 14,81 - 14,93
Γεωπονίας (ΑΠΘ)	14.380	14,39
Ηλεκτρολόγων Μηχ/κών και Μηχ/κών Υπ/στών (ΔΠΘ)	14.310	14,73
Μαθηματικών (ΑΠΘ)	14.200	14,12
Μονίμων Υπαξιωματικών Αεροπορίας (ΣΜΥΑ) - Επιχειρησιακής Υποστήριξης - Ραδιοναυτίλοι	14.150	12,27
Πολιτικών Μηχανικών (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	14.105	12,27
Σχολή Δοκίμων Λιμενοφυλάκων (ΛΣ-ΕΛΑΚΤ)	13.970	9,45
Μηχανικών Βιοϊατρικής (ΠΑ.Δ.Α.)	13.885	9,6
Επιστημών Προσχ. Αγωγής και Εκπ/σης (ΑΠΘ)	13.875	8,4
Μεταλλειολόγων - Μεταλλουργών Μηχανικών (ΕΜΠ)	13.800	9,82
Γραφιστικής και Οπτικής Επικοινωνίας (ΠΑ.Δ.Α.)	13.745	9,09 - 11,29 - 11,44
Επιστήμης Φυσικής Αγωγής και Αθλητισμού (ΑΠΘ) [Σέρρες]	13.729	8,55 - 7,73
Επιστήμης και Τεχνολογίας Τροφίμων (Π.Α.Δ.Α.)	13.620	13,19
Πολιτικών Μηχανικών (ΠΑ.Δ.Α.)	13.600	12,27
Εσωτερικής Αρχιτεκτονικής (ΔΙΠΑΕ)	13.545	9,09
Βιομηχανικής Διοίκησης και Τεχνολογίας (ΠΑ.ΠΕΙ.)	13.465	12,6
Μηχανικών Πληροφ. Υπ/στών και Τηλεπ/νιών (ΔΙΠΑΕ)	13.450	10,5
Μουσικών Σπουδών (ΙΟΝΙΟ ΠΑΝ)	13.440	9,91 - 8,79
Μηχανικών (ΠΑΝ. ΠΕΛΟΠ.)	13.400	12,27
Παιδαγωγικό Δημοτικής Εκπαίδευσης (ΠΑΝ. ΚΡΗΤΗΣ)	13.375	10,5
Μηχανικών Ηλεκτρ. Υπ/στών & Πληροφ/κής (ΠΑΝ. ΙΩΑΝ.)	13.355	13,5
Ηλεκτρολόγων Μηχανικών και Μηχανικών Υπολογιστών (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	13.290	12,27
Επιστήμης Φυσικής Αγωγής και Αθλητισμού (ΔΠΘ)	13.219	8,55 - 7,73
Πολιτικών Μηχανικών (ΔΠΘ)	13.164	11,05
Κινηματογράφου (ΑΠΘ)	13.125	12,6
Αγωγής και Φροντ. στην Πρώιμη Παιδ. Ηλ. (ΠΑ.Δ.Α.)	13.120	8,4
Μονίμων Υπαξιωματικών Στρατού (ΣΜΥ) - Σώματα	13.080	8,4
Φυσικής (ΠΑΝ. ΚΡΗΤΗΣ)	13.073	12,89
Στατιστικής και Ασφαλιστικής Επιστήμης (Π.Α.ΠΕΙ.)	13.070	12,6
Ευελπίδων (ΣΣΕ) - Σώματα	13.055	11,05
Παιδαγωγικό Ειδικής Αγωγής (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	13.050	10,5
Παιδαγωγικό Δημοτικής Εκπαίδευσης (ΔΠΘ)	13.000	8,4
Επιστημών της Εκπαίδευσης και της Αγωγής στην Προσχολική Ηλικία (ΠΑΝ. ΠΑΤΡΩΝ)	13.000	9,45
Πληροφορικής (ΑΠΘ)	12.880	11,55
Παιδαγωγικό Δημοτικής Εκπ/σης (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	12.860	8,4
Αγρονόμων και Τοπογράφων Μηχανικών (ΑΠΘ)	12.655	12,89
Επιστήμης και Τεχνολογίας Τροφίμων (ΔΙΠΑΕ)	12.650	11,99
Ηλ/γων Μηχ/κών & Μηχ/κών Υπ/στών (ΠΑΝ. ΠΕΛΟΠ.)	12.610	12,27
Μηχανικών Παραγωγής και Διοίκησης (ΔΙΠΑΕ)	12.585	10,5
Πληρ/κής με Εφαρ. στη Βιοϊατρική (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	12.515	10,5
Μηχανολόγων Μηχανικών (ΕΛΜΕΠΑ)	12.515	11,05
Παιδαγωγικό Προσχολικής Εκπ/σης (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	12.425	8,4
Μηχανικών Παραγωγής & Διοίκ (ΠΟΛΥΤ. ΚΡΗΤΗΣ)	12.290	12,6
Μονίμων Υπαξιωματικών Αεροπορίας (ΣΜΥΑ) - Επιχειρησιακής Υποστήριξης	12.265	12,27
Πολιτικών Μηχανικών (ΔΙΠΑΕ)	12.154	9,82
Διοικητικής Επιστήμης & Τεχνολογίας (ΠΑΝ. ΠΑΤΡΩΝ)	12.150	11,55
Μηχανικών Βιομηχ. Σχεδίασης και Παραγ. (Π.Α.Δ.Α.)	12.032	12,39
Μηχανολόγων Μηχανικών (ΔΙΠΑΕ)	11.980	9,82
Επιστήμης Ζωικής Παραγωγής (ΓΠΑ)	11.950	11,99
Μηχανικών Τοπογραφίας & Γεωπληροφ. (ΠΑ.Δ.Α.)	11.950	9,82
Επιστήμης Υλικών (ΠΑΝ. ΙΩΑΝΝΙΝΩΝ)	11.950	10,43
Παιδαγωγικό Νηπιαγωγών (ΠΑΝ. ΙΩΑΝΝΙΝΩΝ)	11.905	10,5
Ναυτικών Δοκίμων (ΣΝΔ) Μηχανικοί	11.898	11,05
Παιδαγωγικό Δημοτικής Εκπαίδευσης (ΠΑΝ. ΑΙΓΑΙΟΥ)	11.875	8,4
Αστυφυλάκων (Μόνο για Πολίτες)	11.710	8,4
Μουσικών Σπουδών (ΠΑΝ. ΙΩΑΝΝΙΝΩΝ)	11.660	11,15 - 7,69 - 14,88
Επιστημών Οίνου, Αμπέλου και Ποτών (ΠΑ.Δ.Α.)	11.600	10,79
Παιδαγωγικό Προσχολικής Εκπ/σης (ΠΑΝ. ΚΡΗΤΗΣ)	11.600	10,5
Μηχανικών Παραγωγής και Διοίκησης (ΔΠΘ)	11.590	11,55
Πληροφορικής και Τηλεπικοινωνιών (ΠΑΝ. ΠΕΛΟΠ.)	11.550	11,55
Φωτογραφίας και Οπτικοακουστικών Τεχνών (ΠΑ.Δ.Α.)	11.540	10,5
Ηλ/γων Μηχ/κών & Μηχ/κών Υπ/στών (ΕΛΜΕΠΑ)	11.520	9,82
Θεάτρου (ΑΠΘ)	11.425	8,4
Μηχανικών Χωροταξίας και Ανάπτυξης (ΑΠΘ)	11.350	10,8
Δασολογίας και Φυσικού Περιβάλλοντος (ΑΠΘ)	11.340	9,6
Αξιοποίησης Φυσ. Πόρων & Γεωργ. Μηχανικής (ΓΠΑ)	11.315	11,99
Μηχανικών Τοπογραφίας και Γεωπληροφ. (ΔΙΠΑΕ)	11.280	9,82
Μαθηματικών (ΠΑΝ. ΑΙΓΑΙΟΥ)	11.275	9,82
Αγωγής και Φροντ. στην Πρώιμη Παιδ. Ηλ. (ΔΙΠΑΕ)	11.250	8,4
Πολιτικών Μηχανικών (ΠΑΝ. ΠΕΛΟΠ.)	11.221	9,82
Γεωλογίας και Γεωπεριβάλλοντος (ΕΚΠΑ)	11.100	9,82
Μονίμων Υπαξιωματικών Αεροπορίας (ΣΜΥΑ) - Κατεύθυνση Τεχνολογικής Υποστήριξης	11.095	11,05
Επιστήμης των Υλικών (ΠΑΝ. ΠΑΤΡΩΝ)	11.093	9,6
Ναυτικών Δοκίμων (ΣΝΔ) Μάχιμοι	11.069	11,05
Γεωπονίας (ΔΙΠΑΕ)	11.040	11,39
Γεωπονίας, Φυτικής Παραγωγής και Αγροτικού Περιβάλλοντος (ΠΑΝ. ΘΕΣΣΑΛΙΑΣ)	11.010	11,39
Παιδαγωγικό Νηπιαγωγών (ΠΑΝ. ΔΥΤ. ΜΑΚ.)	10.975	10,5
